,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
155,AQEQES_clean,8.39e-08,7.14e-09,6,2,12.98577955,0.379435877,1075.87422
156,AQEQIW_clean,5.5e-08,1.18e-08,6,2,12.98967432,0.163029632,1100.636783
157,AQERUL_clean,7.15e-09,1.17e-09,6,2,4.904942554,1.47302951,1647.875465
158,AQIQAU_clean,1.18e-07,2.42e-08,6,2,4.855856564,0.423272664,861.7040968
159,AQIXUU_clean,2.63e-08,1.59e-09,6,2,3.81884808,0.127707318,2316.181738
160,AQIXUV_clean,4.6e-08,1.29e-08,6,2,2.872300728,0.09247211,934.48878
161,AQOLEZ_clean,1.44e-07,2.91e-08,6,2,2.565634078,0.50765492,777.2246027
162,AQOLID_clean,1.03e-07,2.51e-08,6,2,2.059273539,0.41016417,1159.738409
163,AQOLOJ_clean,8.29e-08,2.45e-08,6,2,4.516465292,0.928023047,918.546406
164,AQOLUP_clean,1.08e-07,3.95e-08,6,2,2.518291733,0.488963218,788.2713495
165,AQOMAW_clean,8.79e-08,1.85e-08,6,2,2.819605416,0.330550163,1144.781738
166,AQOMEA_clean,1.06e-07,2.64e-08,6,2,2.351226837,0.4631008,749.2935296
167,AQOMEA01_clean,1.14e-07,3.21e-08,6,2,2.448956639,0.471590685,766.9074618
168,AQOSEG_clean,1.23e-08,5.16e-09,6,2,1.528656788,0.317787936,1013.239578
169,AQUCOF_clean,4.69e-08,1.04e-08,6,2,4.335747803,0.189976383,1042.179795
170,AQUCOG_clean,1.09e-07,3.65e-08,6,2,10.84053545,0.04206286,1199.710229
171,AQUCUM_clean,1.18e-07,3.63e-08,6,2,10.96947519,0.043119626,1198.801437
172,AQUDAS_clean,4.89e-08,1.15e-08,6,2,4.26917281,0.197750456,1039.573489
173,AQUDAT_clean,6.65e-09,2.55e-10,6,2,1.856056473,0.366414456,1655.977258
174,AQUDEX_clean,8.15e-09,2.9e-10,6,2,1.852292768,0.3471452,1647.920491
175,AQUDIB_clean,9.81e-08,3.21e-08,6,2,10.74814377,0.040952587,1199.43492
176,AQUDOH_clean,6.56e-09,3.04e-10,6,2,1.808201833,0.309903438,1635.221222
177,ARADEE_clean,1.19e-07,1.71e-08,6,2,9.590330717,0.378405043,1181.75609
178,ARAFEF_clean,1.24e-07,2.87e-08,6,2,2.058019407,0.448199716,837.7299204
179,ARAFIJ_clean,9.09e-08,2.28e-08,6,2,2.193974637,0.458442349,945.3266505
180,ARAFOP_clean,7.27e-08,1.49e-08,6,2,2.065468973,0.415592143,1168.781728
181,ARAGOR_clean,4.88e-08,8.61e-09,6,2,8.399860516,0.359591484,1156.263713
182,ARINOF_clean,1.72e-08,2.76e-09,6,2,1.661748751,0.265102507,1160.861549
183,ARINUL_clean,9.53e-09,1.75e-09,6,2,1.381312573,0.25868404,1125.444481
184,AROFAP_clean,2.2e-08,5.44e-09,6,2,8.212997415,0.3175528,1169.967667
185,AROFET_clean,6.15e-08,1.02e-08,6,2,8.491979124,0.435176834,856.1619074
186,ARUYES_clean,4.32e-08,1.11e-08,6,2,7.627876381,0.273536192,1478.558687
187,ARUYOB_clean,4.33e-09,1.23e-09,6,2,4.042441353,0.443866843,1724.674103
188,ARUYUH_clean,1.09e-08,2.07e-09,6,2,3.998761228,0.184783065,1679.576377
189,ARUYUH01_clean,1.43e-08,3.65e-09,6,2,4.442240584,0.257304767,1675.362821
190,ASACON_clean,3.52e-08,5.04e-09,6,2,6.676152394,0.143228896,1778.473748
191,ASADAA_clean,3.78e-08,8.18e-09,6,2,5.921760787,0.094712725,1520.992397
192,ASANAL_clean,2.59e-08,7.14e-09,6,2,3.491870873,0.201471727,1201.423436
193,ASEJOZ_clean,1.69e-08,3.52e-09,6,2,3.237504251,0.236983344,1756.54858
194,ASEJOZ01_clean,2.01e-08,3.69e-09,6,2,3.219896995,0.225710583,1748.651837
195,ASEKAM_clean,2.14e-08,5.03e-09,6,2,5.830970822,0.099784573,1726.62276
196,ASINAT_clean,7.43e-08,1.41e-08,6,2,4.809187626,0.68595654,727.4308148
197,ASINEX_clean,8.92e-08,1.55e-08,6,2,4.443043905,0.643008499,659.9885404
198,ASINIB_clean,9.08e-08,1.68e-08,6,2,4.434547249,0.662971214,666.054679
