,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7
63,ADATIK_clean,2.25e-07,1.78e-08,6,2,4.42427605,1.879657392,377.5735272,8.352447567524917e-09,8.421878607576586e-10,1842451.669306967,185776.73399066,0.3754460363258382,0.9339997604200302
64,ADAXEK_clean,1.42e-08,5.3e-09,6,2,7.568233896,0.574233804,1263.420338,3.0172982422811717e-09,2.563428622483827e-10,665580.4946208467,56546.21961361384,0.666718945919521,0.964721153551046
65,ADAXIO_clean,1.37e-08,3e-09,6,2,6.230641076,0.195160598,1280.607286,2.4291635491057286e-09,4.99848167477834e-11,535844.9005380283,11026.062517893397,0.6816610955264114,0.9914347737543581
66,ADIQEL_clean,2.55e-08,5.03e-09,6,2,5.72971239,0.457378446,1237.619928,4.018350200157755e-09,1.8981901449457187e-10,886400.7794465636,41871.84143262615,0.6234159729308127,0.9782228462288511
67,ADOBIF_clean,7.07e-09,1.13e-09,6,2,9.20176947,1.144552505,1588.726486,2.29682223925867e-09,1.3698469290810645e-10,506651.96454235364,30217.211670905832,0.6887845189152504,0.9760357209574894
68,ADOCEC_clean,1.6e-08,1.32e-09,6,2,8.598083642,0.590351718,1535.426787,4.69394771228207e-09,7.976688205804296e-11,1035429.6424151625,17595.635748097713,0.5878707363885083,0.9914793741404452
69,ADOGEH_clean,3.57e-08,5.95e-09,6,2,11.71324055,1.009645885,1019.907608,9.477495700014757e-09,4.0846572273396603e-10,2090624.0514738434,90102.73295602191,0.2855557958030827,0.9654109120123984
70,ADUROI_clean,3.73e-07,5e-08,6,2,2.761868064,0.441200763,402.5791642,9.216171338661123e-09,5.920607813764743e-10,2032978.971763483,130601.64295069287,0.3058976962823622,0.9514260049939075
71,ADUWIH_clean,6.94e-08,1.26e-08,6,2,9.3864369,0.403034266,722.1518464,1.0453849601079448e-08,2.4448362905766975e-10,2305996.235532231,53930.21229213303,0.22158493692537326,0.9782980129338535
72,ADUWON_clean,1.05e-07,1.63e-08,6,2,9.097668023,0.941575446,521.2423379,1.1064876082742047e-08,5.333240323034058e-10,2440781.488840157,117645.00712575129,0.18483759653205864,0.953632284192357
73,AFEJOK_ion_b,4.04e-08,7.94e-09,6,2,2.102337144,1.740362485,1101.287011,2.0786038713994104e-09,1.0145406984898487e-09,458515.55986751703,223795.7423139372,0.721066388362428,0.847412990468446
74,AFITEP_clean,3.9e-08,9.34e-09,6,2,6.648955825,0.532572462,1069.309637,6.161820201038482e-09,3.545992432401779e-10,1359225.044346724,78220.42130298042,0.5155861997107559,0.968286624528791
75,AFITUF_clean,3.46e-08,6.52e-09,6,2,4.179496258,0.401338032,1322.884726,4.2511803326233225e-09,2.307749446847973e-10,937760.3674904387,50906.23779811705,0.6141861243429577,0.9746488233393621
76,AFIXAO_clean,1.94e-08,6.21e-09,6,2,1.16690238,0.277729849,1122.212256,5.64545239031032e-10,1.2903214192759934e-10,124532.03802155117,28462.97248402927,0.7393917805244389,0.9240100771974997
77,AFIXES_clean,2.26e-08,6.79e-09,6,2,1.165254679,0.27353992,1125.722502,6.587917139393461e-10,1.3938966619438072e-10,145321.70160426752,30747.720484054567,0.737245231516383,0.9288033784258677
78,AFOVEX_clean,4.07e-08,1.09e-08,6,2,8.945233015,0.486291508,1022.053947,8.268893019766427e-09,3.6116507273796035e-10,1824020.5190661235,79668.76604513831,0.3720108782811154,0.9695295535871274
